City_ID,City,CurrentDescription,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
268,Levokumskoye,scattered clouds,44.8219,44.6606,63.97,62,35,15.21
269,Maniitsoq,scattered clouds,65.4167,-52.9,36.72,48,34,6.8
270,Santiago Tuxtla,broken clouds,18.4667,-95.3,83.23,74,68,4.23
271,Batagay,overcast clouds,67.6333,134.6333,27.41,92,100,3.11
272,Maridi,scattered clouds,4.9158,29.4742,73.98,76,35,2.57
273,Hofn,scattered clouds,64.2539,-15.2082,50.95,80,27,17.52
274,San Quintin,broken clouds,30.4833,-115.95,70.74,71,62,11.36
275,Cockburn Town,scattered clouds,21.4612,-71.1419,85.96,58,40,9.22
276,Paamiut,overcast clouds,61.994,-49.6678,37.2,83,100,9.4
277,Kranjska Gora,light rain,46.4839,13.7894,59.56,98,94,1.83
278,Kulachi,clear sky,31.9286,70.4592,98.49,25,0,6.98
279,Sault Sainte Marie,few clouds,46.5168,-84.3333,68.9,52,20,11.5
280,Ostrovnoy,clear sky,68.0531,39.5131,38.25,73,6,3.89
281,Bambous Virieux,scattered clouds,-20.3428,57.7575,71.85,56,40,9.22
282,Avera,overcast clouds,33.194,-82.5271,84.7,59,100,11.07
283,Nouadhibou,clear sky,20.931,-17.0347,84.18,74,0,12.66
284,Nabire,overcast clouds,-3.3667,135.4833,74.44,94,100,4.65
285,Akcakoca,scattered clouds,41.0866,31.1162,68.5,79,40,3.51
286,Sulangan,moderate rain,11.1373,123.7228,81.59,77,100,8.12
287,Talnakh,overcast clouds,69.4865,88.3972,38.23,96,100,4.83
288,Angul,overcast clouds,20.85,85.1,77.95,87,99,1.95
289,Honningsvag,clear sky,70.9821,25.9704,47.95,71,0,14.97
290,Itarema,scattered clouds,-2.9248,-39.9167,86.86,53,28,18.97
291,Pisco,broken clouds,-13.7,-76.2167,64.45,72,75,11.5
292,Isangel,clear sky,-19.55,169.2667,68.38,69,6,10.96
293,Kavieng,light rain,-2.5744,150.7967,81.48,78,50,10.96
294,Guerrero Negro,clear sky,27.9769,-114.0611,73.53,66,3,15.48
295,Darnah,clear sky,32.767,22.6367,79.29,66,0,8.21
296,Palmer,broken clouds,42.1584,-72.3287,74.25,52,53,1.01
297,Bobo Dioulasso,scattered clouds,11.1771,-4.2979,90.05,48,40,6.91
298,Salamiyah,clear sky,35.0113,37.0532,78.51,35,0,10.04
299,Port Macquarie,clear sky,-31.4333,152.9167,46.36,100,0,0.0
300,Sibu,scattered clouds,2.3,111.8167,77.31,94,40,0.0
301,Bud,overcast clouds,39.447,-86.1758,86.86,62,100,8.19
302,Carbonia,clear sky,39.1672,8.5222,77.99,66,3,12.46
303,Aracaju,scattered clouds,-10.9111,-37.0717,82.35,61,40,11.5
304,Dingle,overcast clouds,10.9995,122.6711,75.65,92,100,2.93
305,Cap Malheureux,overcast clouds,-19.9842,57.6142,72.09,68,95,1.99
306,San Joaquin,scattered clouds,37.9333,-121.3011,71.33,65,38,6.51
307,Passos,few clouds,-20.7189,-46.6097,98.64,17,23,3.38
308,Bailesti,clear sky,44.0167,23.35,73.72,33,5,9.17
309,Candolim,overcast clouds,15.5181,73.7626,80.08,84,100,4.56
310,Sakakah,clear sky,29.9697,40.2064,96.37,18,0,2.68
311,Angoche,few clouds,-16.2325,39.9086,72.79,56,20,11.14
312,Puerto Narino,scattered clouds,-3.7703,-70.3831,89.55,38,28,1.41
313,Clyde River,overcast clouds,70.4692,-68.5914,31.05,56,95,4.7
314,Llanes,few clouds,43.4198,-4.7549,67.05,74,18,9.26
315,Sergeyevka,overcast clouds,53.88,67.4158,39.99,67,85,14.29
316,Kisangani,broken clouds,0.5167,25.2,77.59,68,63,2.77
317,Grindavik,broken clouds,63.8424,-22.4338,51.75,81,75,16.11
318,Evensk,overcast clouds,61.95,159.2333,46.31,82,100,7.05
319,Salinopolis,broken clouds,-0.6136,-47.3561,84.22,69,74,13.15
320,Poum,scattered clouds,-20.2333,164.0167,70.72,68,41,12.39
321,Turinsk,overcast clouds,58.0458,63.696,36.88,85,99,14.18
322,Vostok,clear sky,46.4856,135.8833,35.29,89,5,3.47
323,Keti Bandar,scattered clouds,24.1447,67.4497,84.18,81,45,11.03
324,Vila Franca Do Campo,broken clouds,37.7167,-25.4333,72.01,58,55,9.26
325,Hastings,overcast clouds,50.8552,0.5729,65.19,94,100,5.68
326,Nemuro,overcast clouds,43.3236,145.575,58.55,68,100,9.15
327,Pittsfield,broken clouds,42.4501,-73.2454,71.8,55,74,1.99
328,Shatsk,overcast clouds,54.0258,41.7119,45.07,81,100,14.58
329,Portland,broken clouds,45.5234,-122.6762,59.9,92,77,1.99
330,Siva,clear sky,29.2041,25.5195,92.61,24,0,8.9
331,Leningradskiy,overcast clouds,69.3833,178.4167,26.19,85,91,23.69
332,Pascagoula,overcast clouds,30.3658,-88.5561,86.41,77,90,0.0
333,Luderitz,clear sky,-26.6481,15.1594,57.92,79,0,11.81
334,Bara,few clouds,10.3744,10.7288,84.24,65,11,0.34
335,Erenhot,overcast clouds,43.6475,111.9767,63.75,59,100,9.4
336,Tomatlan,overcast clouds,19.9333,-105.25,82.11,71,100,3.83
337,Shumerlya,overcast clouds,55.5005,46.4129,39.22,64,98,4.41
338,Eureka,overcast clouds,40.8021,-124.1637,64.2,94,96,4.0
339,Wanaka,overcast clouds,-44.7,169.15,39.11,92,100,1.01
340,Sao Joao Do Piaui,scattered clouds,-8.3581,-42.2467,100.22,17,26,7.63
341,Kem,few clouds,64.9555,34.5793,40.78,75,12,5.84
342,Vao,overcast clouds,-22.6667,167.4833,67.3,60,100,13.8
343,Jining,overcast clouds,35.405,116.5814,60.71,96,100,11.9
344,Los Alamos,scattered clouds,35.8881,-106.307,72.14,59,40,1.99
345,Beyneu,scattered clouds,45.3167,55.2,65.25,34,40,12.41
346,Bubaque,light rain,11.2833,-15.8333,80.96,80,100,8.61
347,Almenara,clear sky,-16.1836,-40.6944,93.61,23,7,6.26
